LZ,time,user_name,response
"今天早上睁开眼，终于看到积了点雪。不过由于气温太低，对飞机可不是什么好事，为现场除冰霜加大了难度。机务们辛苦了
@春秋航空 ",01-26,航旅圈,1月25日-26日，上海遭遇10年未遇大雪，航班运营饱受考验。通过提前预案、科学决策、高效配合、精细管理，@春秋航空 实现了上海虹桥、上海浦东两座机场约28个早航班运行正常，100%准点。
 ,01-26,老张头的晚年生活,我不要去t1
 ,01-26,哆啦A梦大战奥特曼,真辛苦，春秋全都是A320?
 ,01-26,Ed_Vantage,真的不带手套吗
 ,01-26,壹禾__,明天航班不会取消吧
 ,01-26,朗钛科技,辛苦保平安，点赞！\/\/@春秋航空: 机务们辛苦啦~
 ,01-26,春秋航空,机务们辛苦啦~
"#吴亦凡1106生日快乐# 爱奇艺VIP会员携手@春秋航空 包机带你去深圳看wuli#首席会员非凡体验官# 凡凡@Mr_凡先生 生日会咯！粗发～


@吴亦凡微吧 ",2017-11-08,大东家和喽喽猪,哇塞~好帅
 ,2017-11-06,D橙AI,壕啊～
 ,2017-11-06,少年民航,#吴亦凡1106生日快乐#  我们办公室有个吴亦凡的粉
 ,2017-11-05,我是wuli彤彤最爱的流沙包,#吴亦凡1106生日快乐# 这个也太霸气了吧~i71真的是大大手笔啊
 ,2017-11-05,爱奇艺小帮手,回复@飞钟爱一生:您好，感谢您对爱奇艺的支持，愿您在爱奇艺有一个美好的体验。
 ,2017-11-05,Mr_galaxy,感谢爱奇艺vip会员，祝生日会圆满顺利，大家玩的开心
 ,2017-11-05,老吴的莱可哒,这场包机厉害了，去不了现场的我抱了抱自己
 ,2017-11-05,一往晴天,真的成出门带私人飞机了
 ,2017-11-05,_凡黑的祖宗,今天看生日直播有什么要求嘛？
 ,2017-11-05,礼帽和口红,#吴亦凡1106生日快乐# 爱奇艺超给力的哦还有最后一张我们的几个小可爱真是太喜欢了
 ,2017-11-05,Ooh_ooooooo,坐等直播
 ,2017-11-05,芒果味的鲵精,可爱
 ,2017-11-05,曲同学的微博,我粗门要私人飞机
 ,2017-11-05,翅翅,回复@郑帅微博:真是可怕
 ,2017-11-05,郑帅微博,@翅翅
 ,2017-11-05,春秋航空,#吴亦凡1106生日快乐# 
 ,2017-11-05,仰望星空的蒲公英xuan,666
 ,2017-11-05,沫沫泽阳,#吴亦凡# #吴亦凡1106生日快乐# 这波宣传666，承坐爱的祝福的飞机，一定一路幸福
 ,2017-11-05,仑子benben,#吴亦凡1106生日快乐# #吴亦凡# 
 ,2017-11-05,金索索,IQY霸霸干得漂亮#吴亦凡# #吴亦凡#  #吴亦凡1106生日快乐#
 ,2017-11-05,SuperSuperGalaxy,Cool ，霸霸很给力#吴亦凡1106生日快乐# #吴亦凡#
 ,2017-11-05,静静的寒冷,@fan亦不fan 已经不能用羡慕来表达我的内心了，我现在是崩溃！
 ,2017-11-05,道亦渊夜,#吴亦凡#      #吴亦凡1106生日快乐#    吴亦凡 吴亦凡 吴亦凡 吴亦凡 吴亦凡   @Mr_凡先生       #首席会员非凡体验官#
 ,2017-11-05,凡酱_,可以说是最厉害的亦凡老师了期待今晚啊啊啊守直播
 ,2017-11-05,luvian_kaka,#吴亦凡#  #吴亦凡1106生日快乐# 爱奇艺VIP会员携手@春秋航空 包机带你去深圳看wuli#首席会员非凡体验官# 凡凡@Mr_凡先生 生日会咯！粗发～@吴亦凡微吧 
 ,2017-11-05,甜羊杀猪了,去他妈的小鲜肉，劳资粉的是国际巨星 膨胀
 ,2017-11-05,用户5drchjtym5,豪气！
 ,2017-11-05,俣亦凡旁边那个人是我,#吴亦凡# #吴亦凡1106生日快乐# 爱凡凡 我是VIP我骄傲~@Mr_凡先生  生日快乐哟
 ,2017-11-05,你已经走很远了,
 ,2017-11-05,-对不起187以下看不见-,这些霸霸都实力宠
 ,2017-11-05,爱吃瓜兮兮的耍法儿,好羡慕哦
 ,2017-11-05,这个男孩很强,这些金主一个比一个给力
 ,2017-11-05,小兔AliceQniLife,羡慕啊！
 ,2017-11-05,kw1106fan,#吳亦凡1106生日快乐# #吳亦凡# 各代言商都很宠凡凡，很多福利，这个666
 ,2017-11-05,宴北遇,#吴亦凡1106生日快乐#    [淚][淚][淚][淚][淚][淚][淚]羡慕嫉妒没有恨
 ,2017-11-05,_凡黑的祖宗,今天看生日直播有什么要求嘛？
 ,2017-11-05,架上药生尘,""","
 ,2017-11-05,亦路凯歌,哇  给力666
 ,2017-11-05,Yenicall贤1998,希望偶遇啊
 ,2017-11-05,一只话多的nunu,66666羡慕
 ,2017-11-05,吴小毛-Aris-,感谢
 ,2017-11-05,galaxy_seeing,太可爱了吧
 ,2017-11-05,小鱼守护天神,吴亦凡生日专机啊啊啊啊啊啊啊牛掰
 ,2017-11-05,陌陌里斯,""","
 ,2017-11-05,Mr_嘉恒学长,私人飞机
 ,2017-11-05,一往晴天,真的成出门带私人飞机了
 ,2017-11-05,平凡小幸运,哇，我出门要私人飞机
 ,2017-11-05,大琴Zoe,厉害了
 ,2017-11-05,OopsBitch,@白胖胖十九 包机
 ,2017-11-05,老吴的莱可哒,这场包机厉害了，去不了现场的我抱了抱自己
 ,2017-11-05,曲同学的微博,我粗门要私人飞机
 ,2017-11-05,Mrs_月,#吴亦凡#  #吴亦凡1106生日快乐#  哇，这个太赞啦
 ,2017-11-05,一番的神游少女,我的妈呀！赞助商霸霸们今天完全是比赛宠凡了#吴亦凡1106生日快乐#
 ,2017-11-05,北美天神,喜欢喜欢
 ,2017-11-05,排排坐的兔兔,超级酷
 ,2017-11-05,毛球小朵,#吴亦凡1106生日快乐# 天呐，太棒了～
 ,2017-11-05,萌哒哒桃小喵喵,。。。我宝生日的时候咋没这福利呢。。。都是推荐官啊被黑就算了连基本福利都没有。。。心累
 ,2017-11-05,Deserve-K6,妈耶这个6666
 ,2017-11-05,吴亦凡怎么那么帅,给力\/\/@Fabulousts:我们赞助商宝贝今年都好多好多活动哦！！
 ,2017-11-05,Fabulousts,我们赞助商宝贝今年都好多好多活动哦！！
 ,2017-11-05,lauresandy,#吴亦凡1106生日快乐# #吴亦凡# 这一波，超级666！
 ,2017-11-05,一米八七的善良,酷哦，我是第1106个转发的哎
 ,2017-11-05,小苹果0730,#吴亦凡1106生日快乐# #吴亦凡#吴亦凡 @Mr_凡先生 wyf kriswu  #Deserve-吴亦凡;Travis Scott[音乐]#  #吴亦凡代言爱奇艺vip#
